 >TARREC   rectangular prism; AX,AY,AZ= 41.9000 10.0000 10.0000
      4200 = NAT 
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
 -42.50000  -5.50000  -5.50000 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 0 0 0
     JA  IX  IY  IZ ICOMP(x,y,z)
    544  40   3   2 1 1 1
    545  41   3   2 1 1 1
    546  42   3   2 1 1 1
    547   1   4   2 1 1 1
    548   2   4   2 1 1 1
    549   3   4   2 1 1 1
    550   4   4   2 1 1 1
    551   5   4   2 1 1 1
    552   6   4   2 1 1 1
    553   7   4   2 1 1 1
    554   8   4   2 1 1 1
    555   9   4   2 1 1 1
    556  10   4   2 1 1 1
    557  11   4   2 1 1 1
    558  12   4   2 1 1 1
    559  13   4   2 1 1 1
    560  14   4   2 1 1 1
    561  15   4   2 1 1 1
    562  16   4   2 1 1 1
    563  17   4   2 1 1 1
    564  18   4   2 1 1 1
    565  19   4   2 1 1 1
    566  20   4   2 1 1 1
    567  21   4   2 1 1 1
    568  22   4   2 1 1 1
    569  23   4   2 1 1 1
    570  24   4   2 1 1 1
    571  25   4   2 1 1 1
    572  26   4   2 1 1 1
    573  27   4   2 1 1 1
    574  28   4   2 1 1 1
    575  29   4   2 1 1 1
    576  30   4   2 1 1 1
    577  31   4   2 1 1 1
    578  32   4   2 1 1 1
    579  33   4   2 1 1 1
    580  34   4   2 1 1 1
    581  35   4   2 1 1 1
    582  36   4   2 1 1 1
    583  37   4   2 1 1 1
    584  38   4   2 1 1 1
    585  39   4   2 1 1 1
    586  40   4   2 1 1 1
    587  41   4   2 1 1 1
    588  42   4   2 1 1 1
    589   1   5   2 1 1 1
    590   2   5   2 1 1 1
    591   3   5   2 1 1 1
    592   4   5   2 1 1 1
    593   5   5   2 1 1 1
    594   6   5   2 1 1 1
    595   7   5   2 1 1 1
    596   8   5   2 1 1 1
    597   9   5   2 1 1 1
    598  10   5   2 1 1 1
    599  11   5   2 1 1 1
    600  12   5   2 1 1 1
    601  13   5   2 1 1 1
    602  14   5   2 1 1 1
    603  15   5   2 1 1 1
    604  16   5   2 1 1 1
    605  17   5   2 1 1 1
    606  18   5   2 1 1 1
    607  19   5   2 1 1 1
    608  20   5   2 1 1 1
    609  21   5   2 1 1 1
    610  22   5   2 1 1 1
    611  23   5   2 1 1 1
    612  24   5   2 1 1 1
    613  25   5   2 1 1 1
    614  26   5   2 1 1 1
    615  27   5   2 1 1 1
    616  28   5   2 1 1 1
    617  29   5   2 1 1 1
    618  30   5   2 1 1 1
    619  31   5   2 1 1 1
    620  32   5   2 1 1 1
    621  33   5   2 1 1 1
    622  34   5   2 1 1 1
    623  35   5   2 1 1 1
    624  36   5   2 1 1 1
    625  37   5   2 1 1 1
    626  38   5   2 1 1 1
    627  39   5   2 1 1 1
    628  40   5   2 1 1 1
    629  41   5   2 1 1 1
    630  42   5   2 1 1 1
    631   1   6   2 1 1 1
    632   2   6   2 1 1 1
    633   3   6   2 1 1 1
    634   4   6   2 1 1 1
    635   5   6   2 1 1 1
    636   6   6   2 1 1 1
    637   7   6   2 1 1 1
    638   8   6   2 1 1 1
    639   9   6   2 1 1 1
    640  10   6   2 1 1 1
    641  11   6   2 1 1 1
    642  12   6   2 1 1 1
    643  13   6   2 1 1 1
    644  14   6   2 1 1 1
    645  15   6   2 1 1 1
    646  16   6   2 1 1 1
    647  17   6   2 1 1 1
    648  18   6   2 1 1 1
    649  19   6   2 1 1 1
    650  20   6   2 1 1 1
    651  21   6   2 1 1 1
    652  22   6   2 1 1 1
    653  23   6   2 1 1 1
    654  24   6   2 1 1 1
    655  25   6   2 1 1 1
    656  26   6   2 1 1 1
    657  27   6   2 1 1 1
    658  28   6   2 1 1 1
    659  29   6   2 1 1 1
    660  30   6   2 1 1 1
    661  31   6   2 1 1 1
    662  32   6   2 1 1 1
    663  33   6   2 1 1 1
    664  34   6   2 1 1 1
    665  35   6   2 1 1 1
    666  36   6   2 1 1 1
    667  37   6   2 1 1 1
    668  38   6   2 1 1 1
    669  39   6   2 1 1 1
    670  40   6   2 1 1 1
    671  41   6   2 1 1 1
    672  42   6   2 1 1 1
    673   1   7   2 1 1 1
    674   2   7   2 1 1 1
    675   3   7   2 1 1 1
    676   4   7   2 1 1 1
    677   5   7   2 1 1 1
    678   6   7   2 1 1 1
    679   7   7   2 1 1 1
    680   8   7   2 1 1 1
    681   9   7   2 1 1 1
    682  10   7   2 1 1 1
    683  11   7   2 1 1 1
    684  12   7   2 1 1 1
    685  13   7   2 1 1 1
    686  14   7   2 1 1 1
    687  15   7   2 1 1 1
    688  16   7   2 1 1 1
    689  17   7   2 1 1 1
    690  18   7   2 1 1 1
    691  19   7   2 1 1 1
    692  20   7   2 1 1 1
    693  21   7   2 1 1 1
    694  22   7   2 1 1 1
    695  23   7   2 1 1 1
    696  24   7   2 1 1 1
    697  25   7   2 1 1 1
    698  26   7   2 1 1 1
    699  27   7   2 1 1 1
    700  28   7   2 1 1 1
    701  29   7   2 1 1 1
    702  30   7   2 1 1 1
    703  31   7   2 1 1 1
    704  32   7   2 1 1 1
    705  33   7   2 1 1 1
    706  34   7   2 1 1 1
    707  35   7   2 1 1 1
    708  36   7   2 1 1 1
    709  37   7   2 1 1 1
    710  38   7   2 1 1 1
    711  39   7   2 1 1 1
    712  40   7   2 1 1 1
    713  41   7   2 1 1 1
    714  42   7   2 1 1 1
    715   1   8   2 1 1 1
    716   2   8   2 1 1 1
    717   3   8   2 1 1 1
    718   4   8   2 1 1 1
    719   5   8   2 1 1 1
    720   6   8   2 1 1 1
    721   7   8   2 1 1 1
    722   8   8   2 1 1 1
    723   9   8   2 1 1 1
    724  10   8   2 1 1 1
    725  11   8   2 1 1 1
    726  12   8   2 1 1 1
    727  13   8   2 1 1 1
    728  14   8   2 1 1 1
    729  15   8   2 1 1 1
    730  16   8   2 1 1 1
    731  17   8   2 1 1 1
    732  18   8   2 1 1 1
    733  19   8   2 1 1 1
    734  20   8   2 1 1 1
    735  21   8   2 1 1 1
    736  22   8   2 1 1 1
    737  23   8   2 1 1 1
    738  24   8   2 1 1 1
    739  25   8   2 1 1 1
    740  26   8   2 1 1 1
    741  27   8   2 1 1 1
    742  28   8   2 1 1 1
    743  29   8   2 1 1 1
    744  30   8   2 1 1 1
    745  31   8   2 1 1 1
    746  32   8   2 1 1 1
    747  33   8   2 1 1 1
    748  34   8   2 1 1 1
    749  35   8   2 1 1 1
    750  36   8   2 1 1 1
    751  37   8   2 1 1 1
    752  38   8   2 1 1 1
    753  39   8   2 1 1 1
    754  40   8   2 1 1 1
    755  41   8   2 1 1 1
    756  42   8   2 1 1 1
    757   1   9   2 1 1 1
    758   2   9   2 1 1 1
    759   3   9   2 1 1 1
    760   4   9   2 1 1 1
    761   5   9   2 1 1 1
    762   6   9   2 1 1 1
    763   7   9   2 1 1 1
    764   8   9   2 1 1 1
    765   9   9   2 1 1 1
    766  10   9   2 1 1 1
    767  11   9   2 1 1 1
    768  12   9   2 1 1 1
    769  13   9   2 1 1 1
    770  14   9   2 1 1 1
    771  15   9   2 1 1 1
    772  16   9   2 1 1 1
    773  17   9   2 1 1 1
    774  18   9   2 1 1 1
    775  19   9   2 1 1 1
    776  20   9   2 1 1 1
    777  21   9   2 1 1 1
    778  22   9   2 1 1 1
    779  23   9   2 1 1 1
    780  24   9   2 1 1 1
    781  25   9   2 1 1 1
    782  26   9   2 1 1 1
    783  27   9   2 1 1 1
    784  28   9   2 1 1 1
    785  29   9   2 1 1 1
    786  30   9   2 1 1 1
    787  31   9   2 1 1 1
    788  32   9   2 1 1 1
    789  33   9   2 1 1 1
    790  34   9   2 1 1 1
    791  35   9   2 1 1 1
    792  36   9   2 1 1 1
    793  37   9   2 1 1 1
    794  38   9   2 1 1 1
    795  39   9   2 1 1 1
    796  40   9   2 1 1 1
    797  41   9   2 1 1 1
    798  42   9   2 1 1 1
    799   1  10   2 1 1 1
    800   2  10   2 1 1 1
    801   3  10   2 1 1 1
    802   4  10   2 1 1 1
    803   5  10   2 1 1 1
    804   6  10   2 1 1 1
    805   7  10   2 1 1 1
    806   8  10   2 1 1 1
    807   9  10   2 1 1 1
    808  10  10   2 1 1 1
    809  11  10   2 1 1 1
    810  12  10   2 1 1 1
    811  13  10   2 1 1 1
    812  14  10   2 1 1 1
    813  15  10   2 1 1 1
    814  16  10   2 1 1 1
    815  17  10   2 1 1 1
    816  18  10   2 1 1 1
    817  19  10   2 1 1 1
    818  20  10   2 1 1 1
    819  21  10   2 1 1 1
    820  22  10   2 1 1 1
    821  23  10   2 1 1 1
    822  24  10   2 1 1 1
    823  25  10   2 1 1 1
    824  26  10   2 1 1 1
    825  27  10   2 1 1 1
    826  28  10   2 1 1 1
    827  29  10   2 1 1 1
    828  30  10   2 1 1 1
    829  31  10   2 1 1 1
    830  32  10   2 1 1 1
    831  33  10   2 1 1 1
    832  34  10   2 1 1 1
    833  35  10   2 1 1 1
    834  36  10   2 1 1 1
    835  37  10   2 1 1 1
    836  38  10   2 1 1 1
    837  39  10   2 1 1 1
    838  40  10   2 1 1 1
    839  41  10   2 1 1 1
    840  42  10   2 1 1 1
    841   1   1   3 1 1 1
    842   2   1   3 1 1 1
    843   3   1   3 1 1 1
